0	[0.2902953421102411, 0.02195748367217432, 0.17380666497981218, 0.2944044336637788, 0.571741652354446, 0.20626268106859638, 0.015247278449144036, 0.33628586006343775, 0.022420201027603316, 0.03238100851561139, 0.38808529489148863, 0.24609519971537233, 0.09330896295116986, 0.0896006774871439, 0.03187957577663351, 0.011164891728492271, 0.044214276623332105, 0.20330355133307346, 0.05611175328007933, 0.20098420018530777, 0.004668436807473701, 0.007752198836732823, 0.29044085498549527, 0.14923255635669566, 0.19252720950796864, 0.47911640170553416, 0.11223836462258215, 0.04977447493522712, 0.05735704696580887, 0.14242128965642048, 0.1263438197685414, 0.4081075370406007, 0.5024635892314295, 0.15016167065308358, 0.06900396001883886, 0.008193212255398761, 0.18047562770838693, 0.12482549614502512, 0.5551502227623321, 0.010731088017603049, 0.006225413060464454, 0.25567178615475417, 0.2814787049478125, 0.09553935361012543, 0.10598879657150405, 0.23084006761480114, 0.11780279172767345, 0.09069108581521321, 0.2534118865420509, 0.049199316689028355, 0.1741754568479256, 0.04310310030472737, 0.09534083147432028, 0.3931516833201636, 0.36951175114786966, 0.33990834922471885, 0.10161613201345156, 0.25927307060107596, 0.092850846691565, 0.09351607132073005, 0.26001465973244386, 0.3377113000264438, 0.15245258072125437, 0.018117145864128274, 0.4362066962828934, 0.08162266216864925, 0.02016967641734961, 0.3215932324524225, 0.004411648040575189, 0.36296392867609883, 0.2869896742391355, 0.0005405850908787939, 0.02945350194841014, 0.20522810590950902, 0.04834486048522568, 0.00010555301526280173, 0.23199375261098784, 0.20897375823633904, 0.06948739349355178, 0.05106458892983428, 0.10588130679394664, 0.033711425196303976, 0.04580218273155966, 0.16894963723711737, 0.10734990086035999, 0.1573996161148465, 0.004768218807212233, 0.28135526443876324, 0.056791501305076146, 0.4760423421070852, 0.06164029727331608, 0.002641751033611001, 0.029570931888320138, 0.030495025077404245, 0.26936792830659384, 0.09846260316129483, 0.011881654998362162, 0.06567726046709967, 0.12717436699271187, 0.011867981845001497]
1	[0.22596726107218545, 0.3102681577733323, 0.03249680059171446, 0.2586036377214098, 0.2810067275551698, 0.43983644437436964, 0.444011497228083, 0.00831595884692952, 0.5043474505237358, 0.17017519970597472, 0.5348871120622698, 0.1900409511973515, 0.21402566830571398, 0.008701900937807526, 0.04940470165479669, 0.002252768098300638, 0.11266439686776934, 0.4408679152106402, 0.036119631419134705, 0.18347268234335806, 0.053980266283531, 0.010219080845235023, 0.11737380066573634, 0.35670373728285154, 0.12489796852629759, 0.0030227841832355987, 0.5017468620849428, 0.013869376684667582, 0.3091978117941279, 0.0754599575586038, 0.4390501292317418, 0.29183636446450795, 0.06990233303042584, 0.13223556198278857, 0.31635181702326437, 0.3766799777798397, 0.17657561830224616, 0.1492232913328881, 0.02130890878779409, 0.139459451916439, 0.013847205032448025, 0.37472084061949634, 0.18442875435573244, 0.22262763930353086, 0.1432872845198699, 0.4139735172995524, 0.0018668678860929864, 0.07324344061997048, 0.19277008956605712, 0.2100738771514588, 0.1551283462982529, 0.04783153183278282, 0.027558488663384593, 0.4295275639902184, 0.03455096435862543, 0.34516739231820504, 0.019471804483352426, 0.14381535748689975, 0.05906848310400637, 0.15315102138404924, 0.009313382450588917, 0.13519807883061769, 0.3218091480200326, 0.23101930465819281, 0.46151508175642175, 0.09892229798642355, 0.04910811044721064, 0.2586494719414788, 0.08198601880742651, 0.039149104511217676, 0.02577499535541526, 0.27358751517173685, 0.06398587606287404, 0.07153384975995362, 0.2176503699782016, 0.13833820671063116, 0.024968626861150207, 0.1754924082283937, 0.06977542430960212, 0.12788587739067603, 0.22212634927337127, 1.1835598306765638e-05, 0.037482898859111415, 0.026339740246144744, 0.2504847077052978, 0.02091815863418504, 0.002075131054426553, 0.19126254749082888, 0.2020707155589468, 0.16041068197914274, 0.11851252392396425, 0.3910134430609424, 0.02246132609435742, 0.030784502748983884, 0.18547938275028444, 0.0503737588977971, 0.1422444345155758, 0.2694760895900112, 0.17477017945757245, 0.06104319477010002]
2	[0.37155004108800244, 0.029240005595090577, 0.0028484453459442253, 0.30551845803422184, 0.022231435783628527, 0.006860258952275496, 0.35974175379225565, 0.09826656172248989, 0.0010595387126300594, 0.15284312551010112, 0.19620035098972372, 0.4249874025997973, 0.007132704172023863, 0.002385289280077399, 0.14314845570780954, 0.1055736577190609, 0.0437714551869159, 0.4262296054046191, 0.029296720772086875, 0.09607608978948672, 0.000404632530197701, 0.1371167391514664, 0.05970310204474294, 0.14904450296821237, 0.22335210631759292, 0.2687385042310015, 0.5204507109223092, 0.265414173519015, 0.31055907332065497, 0.006124903041263451, 0.20254803308302022, 0.14593312321881735, 0.16866843923774705, 0.2780065632717912, 0.016921371462636163, 0.22368602912653157, 0.2004825716090551, 0.006033376444456024, 0.40536261901326825, 0.2256952888459714, 0.0574746174818309, 0.13999135114591651, 0.0039313532024867325, 0.13772389569047133, 0.19238794249647975, 0.021803026246526306, 0.03301589479759168, 0.06952146465651454, 0.2656543667876799, 0.14878141952711807, 0.40395091776372455, 0.16798563429567434, 0.04101726708171473, 0.12790954787755923, 0.28457296418123135, 0.03183727375614138, 0.06607488836054373, 0.028601968385429406, 0.09922845788577794, 0.05247772125127572, 0.05671571581176917, 0.04924510126089051, 0.3165189658115408, 0.04878412364763384, 0.1073491110279652, 0.011835709266488092, 0.25467607403177034, 0.22908447078462085, 0.2659817808477936, 0.43652849038205876, 0.029808608852169415, 0.32259057433829813, 0.09971604545661786, 0.029692429731408537, 0.0189862488804515, 0.13014461030129873, 0.038841994863790995, 0.11285181456070277, 0.22024884845929635, 0.04079694520208846, 0.04599562648330501, 0.13160052589094523, 0.048243529613404425, 0.052838632100769056, 0.013077191186882763, 0.012989144564882824, 0.1851133964429304, 0.14462394776388862, 0.2804141075274774, 0.15875638537216524, 0.1898556088243226, 0.23148785197117636, 0.07841153549598237, 0.28681593800974364, 0.22012237433185172, 0.3202735794974555, 0.22239575684068816, 0.10081873765930939, 0.3610482737077383, 0.2300340328006114]
3	[0.18779609284104384, 0.12447429245121973, 0.08067025720462304, 0.12761834398539282, 0.18727010961045046, 0.07209377579525089, 0.29177634549371856, 0.20911155515824642, 0.20146706288550592, 0.25521051564883585, 0.005149008780286176, 0.09846098926222867, 0.1040053233743558, 0.042531336843601476, 0.0034994191350511436, 0.3277106690412223, 0.04760711661757571, 0.1956191079145989, 0.1673721250551592, 0.11174803370864364, 0.04397075941922773, 0.004779946525446089, 0.012138624118245084, 0.14560926683290618, 0.04731844032332724, 0.009752660355604743, 0.0698505157266457, 0.28466774301919395, 0.22224952727533692, 0.184908328297623, 0.095863875998786, 0.002138631887971549, 0.36319220117350837, 0.11231402256119, 0.08180987844747767, 0.012012984540368716, 0.1068531032770143, 0.2966894805808881, 0.4539397410960332, 0.16008002311134298, 0.1855653487891076, 0.016765467576836588, 0.0784685522062893, 0.07942978107561764, 0.25106151821598605, 0.2197126211658572, 0.08554605573215607, 0.05138182505713124, 0.31652227662605414, 0.0026133916253902466, 0.041288076952826956, 0.17817621809478582, 0.0020968066286859706, 0.18698216303746443, 0.2269916555718377, 0.02273516143941338, 0.1432839230229909, 0.35504641927724173, 0.20000612520608368, 0.04476702374266485, 0.04104250280992359, 0.29292884028256144, 0.05078606980162989, 0.0507256109331491, 0.05237602979695824, 0.1045244384030465, 0.265567429666989, 0.12865681651754074, 0.16712066850706306, 0.00894784522499579, 0.10488150562906325, 0.0030476278572664087, 0.06898848493248344, 0.13336715932752813, 0.014572409078139012, 0.07218628944067522, 0.05540238246306893, 0.19445587284756352, 0.375407849912463, 0.2586245265652889, 0.02055211215357571, 0.015941153168009394, 0.35174611937614514, 0.19279843559072982, 0.3678457027930677, 0.35886794452520393, 0.13853035255306595, 0.5459016803140962, 0.24708132983241304, 0.13004518356274086, 0.025115805454979104, 0.17956212313399478, 0.10090318276023529, 0.08211362131838126, 0.4694086700267219, 0.39950355112030533, 0.18599349596493617, 0.13866613518492085, 0.08988365105857533, 0.3049292455380793]
4	[0.22866927136637336, 0.29107037825155135, 0.16959744860097448, 0.01211503845695923, 0.13764593848608708, 0.010682388005423534, 0.0720088792145064, 0.3397480668204425, 0.06586034218859584, 0.15152472520533575, 0.027073319007589185, 0.10194953790758621, 0.2556975956293291, 0.06120785863208804, 0.0075961642153041355, 0.29757782849644465, 0.009951428369340523, 0.0582211480317874, 0.12139019231595745, 0.4625248551263069, 0.03136853368477453, 0.25826477219045185, 0.05136986799775767, 0.002039012393465751, 0.0011471464751023953, 0.12371970727271984, 0.22606324791169682, 0.2283309174990578, 0.14504543014728252, 0.04556041673540598, 0.3409377059187948, 0.18110113894051796, 0.18390489229308574, 0.026401261454588595, 0.1479828687322692, 0.1966035811179225, 0.2865668379667719, 0.05230016030533745, 0.008078532447833521, 0.013149183081025712, 0.28814244616634205, 0.07244319726241809, 0.3135021964681163, 0.29078211645541235, 0.47824101268266683, 0.07914310042894591, 0.010153626966387755, 0.17344665740354184, 0.023147284578731768, 0.053639868253234, 0.0808099549122291, 0.03270111365372867, 0.18535702801694126, 0.18717782100135408, 0.01749399638230516, 0.36498651206037547, 0.23310421794032413, 0.4014746322555135, 0.12575040584127847, 0.36638731082281506, 0.3571885931978131, 0.0027288434598620164, 0.4018580576374318, 0.22136933524159022, 0.5889046641500097, 0.3220392038200575, 0.5038688867314929, 0.06892742932504055, 0.19268787531310552, 0.016186852812423314, 0.3190881741184823, 0.06102984700480607, 0.014662120173469056, 0.047177611175455145, 0.3882600533016082, 0.30889545820915354, 0.05086431472551262, 0.09544394464217718, 0.30278468615647497, 0.10166588012589485, 0.24116145388333593, 0.0754042254697294, 0.4859250376051172, 0.07132164003207142, 0.05215831115364591, 0.16330272937459356, 0.004337483703118212, 0.0006013701935045439, 0.5740966029433542, 0.014738295636696782, 0.17123917341796976, 0.002049920336954335, 0.4957775821155288, 0.0042474478045635596, 0.036530254277129554, 0.17347993084850247, 0.034724595874784304, 0.11014672968611804, 0.08663239354879104, 0.06442210955377146]
5	[0.018349327101232264, 0.011612845154616368, 0.016394278022667137, 0.03503341103207782, 0.2370299998153456, 0.03305221038836304, 0.17507193191789389, 0.009271872962483205, 0.2991558597014841, 0.02068581727149127, 0.09546805347008186, 0.06449174820454456, 0.45806007729511933, 0.185157225526514, 0.04007580615530499, 0.28502883990485933, 0.003150599721447984, 0.142729222563293, 0.26979491798123384, 0.043273579769384715, 0.1410764245380563, 0.4827132631926022, 0.08554460771415118, 0.17669063006795208, 0.20044460777968526, 0.021464334677193327, 0.25049758854081405, 0.34730536142598956, 0.15100903763326912, 0.12445270618540809, 0.10183179397668776, 0.03671390068730303, 0.08943941917559352, 0.2650958035754878, 0.1498837021325774, 0.2462467339529572, 0.01906492715929147, 0.16612627151296713, 0.06112483969450034, 0.098465644570369, 0.17617349364144114, 0.2268262983064605, 0.03433018435961817, 0.1622652062025081, 0.0269929224815254, 0.10857262098439746, 0.030094287481285467, 0.4980542152032696, 0.053986944882788296, 0.015011686483006327, 0.11467741036696974, 0.02058302577114493, 0.013588479806939354, 0.1863586277056977, 0.036387365178409584, 0.10831472483620432, 0.29460226183616905, 0.26900248857026865, 0.09848112853796398, 0.19733868663648335, 0.04369369508825333, 0.19718254057976758, 0.020455018238106224, 0.13149243334986888, 0.08514710926780268, 5.152226088801125e-05, 0.2062326875956504, 0.05975263727649609, 0.14477051474078415, 0.1567764102067073, 0.07539579593818849, 0.06847706610706092, 0.035859803870678636, 0.11573458908509436, 0.05497022328556681, 0.20439415482151568, 0.08576757616094476, 0.3861204059651891, 0.13904409553614214, 0.09331865854321829, 0.11324505685708429, 0.018537401640452738, 0.17275769014907974, 0.3068233341850361, 0.04497126381695013, 0.13216150143719282, 0.3240050847123313, 0.024217378381878898, 0.15970385664692596, 0.23169856896815982, 0.006998389968551233, 0.1857943708508399, 0.1518031099322228, 0.16333825422820847, 0.09266835038760766, 0.09549361319267094, 0.2809659219065934, 0.011909106964844962, 0.09504867064024095, 0.32085356105500806]
6	[0.01868775081982147, 0.08702108806291634, 0.08002541945364801, 0.13463402346692804, 0.37871800464500965, 0.23589632384676626, 0.20249393351442382, 0.40555409638946904, 0.09243716955312693, 0.0763437824789288, 0.10000620868135335, 0.39811318009090846, 0.003325373957918016, 0.3107314398800346, 0.1946067700104153, 0.007284050294450083, 0.4010306258798035, 0.2975073328007736, 0.03225824902257849, 0.001125358429057471, 0.03869688168643905, 0.06822215916610837, 0.2826861861447554, 0.06280721797132485, 0.030224085127134762, 0.013081700053780523, 0.054833165395699775, 0.12926242829078144, 0.18477271459312708, 0.28441209771766673, 0.021135454151970434, 0.09326111134259726, 0.2887371905786487, 0.31819370494002086, 0.104704141701492, 0.01521142291720513, 0.09075628223198177, 0.19307103309874693, 0.010421491373107022, 0.014484763705420347, 0.2301562785913815, 0.07077704358542379, 0.006478071137967967, 0.03608473641848412, 0.13724014706350068, 0.1908047921941053, 0.15563490949536873, 0.0092486075935508, 0.041293949091328074, 0.15729584167115884, 0.15466243467337326, 0.2933454188954058, 0.04164866852689421, 0.00552848068401286, 0.07728172002154418, 0.10812451878621765, 0.21935524257830766, 0.0336967962311988, 0.47355359789639373, 0.002776255374855208, 0.40405469400566024, 0.10209381675355199, 0.26045092129800324, 0.029655260336927794, 0.14185465576272982, 0.20689385005695804, 0.01980892113767816, 0.014872117399483483, 0.10348727753372125, 0.2271504853572948, 0.23792917485277318, 0.03786994777958955, 0.04010054492123333, 0.3887116431433408, 0.08546245302627385, 0.3177554029653335, 0.2643686638470854, 0.11344155013737826, 0.08343657493280968, 0.4240109591691974, 0.024371012225407208, 0.2779060140212865, 0.24650179343182171, 0.1626008556761501, 0.24122752063320316, 0.3092087713450309, 0.10519649494599752, 0.4561948225710565, 0.11398909690656832, 0.0021239273759828814, 0.11845053802923054, 0.15014475238195868, 0.07581262365389971, 0.0067883403327131265, 0.1356858497114434, 0.038467125004555895, 0.4402282446815513, 0.030744143280390965, 0.1087668744120712, 0.018078261750901572]
7	[0.2864941827197031, 0.2363427121307955, 0.19969601922108116, 0.17763246372415906, 0.122919086696592, 0.18284495717287497, 0.0965144525450373, 0.4175870807691316, 0.005568842814288934, 0.45536000502990714, 0.05239447758679368, 0.12723685023924666, 0.1970332343158289, 0.25354792161235834, 0.0835246468605576, 0.014934057199920607, 0.33643601355135544, 0.12000125269143377, 0.19080363041936252, 0.11880847515785017, 0.07475370012771922, 0.00011235491356935932, 0.40750118708967614, 0.11639222582274038, 0.33051098256891986, 0.44852075838003824, 0.0032328333446093997, 0.4170208756951683, 0.24009306301563957, 0.514389388392603, 0.0580111922709876, 0.03754187590663922, 0.17044514115859857, 0.03144848668018885, 0.21855587301365498, 0.4684953914305738, 0.042019790510174716, 0.2697207422720897, 0.2690479748798738, 0.027906699366996107, 0.07909013533357792, 0.02012688014716137, 0.43733633306613556, 0.15415045954445541, 0.033957448220355395, 0.16889158796323867, 0.046132274739873774, 0.10769061084609126, 0.02106724495802735, 0.09796804988407914, 0.0033969757774052704, 0.001271662745222197, 0.06343880461726543, 0.49341374459046744, 0.01933989158700084, 0.018369166375608426, 0.05202275698921351, 0.01082774278276167, 0.08928809491110426, 0.276035274514788, 0.07799017340960439, 0.07765705060282554, 0.2656456455559721, 0.2601315424020426, 0.0410643930601609, 0.18264403618149075, 0.20343128744246514, 0.0573033443326755, 0.35187136449877876, 0.024241275082325313, 0.19735491528961174, 0.38201173282538936, 0.08664977088697493, 0.11343053513892454, 0.41945954212087666, 0.09984085945537319, 0.2138025945059483, 0.14411054044039573, 0.07256310756142696, 0.42923075927906573, 0.36994500503453337, 0.26653747544895773, 0.08143866664777222, 0.376271262348359, 0.08842174391380365, 0.20085871702883687, 0.2855153170717515, 0.2072518538524671, 0.14852292989397256, 0.03236836495787177, 0.04520168334676062, 0.005641227846681761, 0.01867353289699666, 0.4779019292340977, 0.10513996029869094, 0.18345475633168118, 0.15037836420269335, 0.31064026503285425, 0.13947805108446498, 0.12958289790464664]
8	[0.14280318677885795, 0.41585178875829387, 0.08050875173473107, 0.07164427549102648, 0.16888893507656297, 0.32174142570077424, 0.28856696614675204, 0.1528225648054048, 0.04476144925880591, 0.43447947149988103, 0.03030522746551315, 0.08568701329242306, 0.005528002242597849, 0.1454903237562177, 0.11476363676945758, 0.09015982373713366, 0.057896281922076055, 0.03630361593743267, 0.09294834992953571, 0.2650162547395838, 0.1999503938141937, 0.1458995908664507, 0.4458110247595841, 0.017726734763523266, 0.025018616243086392, 0.008324840814256296, 0.28330281068368374, 0.06748894238269866, 0.003570520326845922, 0.030062177639549895, 0.4126511823601506, 0.07424336715985566, 0.002702914822978162, 0.18715075969401115, 0.06871603882630745, 0.02459444087427139, 0.005003845856471631, 0.39683434514238536, 0.42669756087791083, 0.2891117277515137, 0.0025645242980601537, 0.5588869737296156, 0.3972037159385853, 0.07209759771343241, 0.2981529334321662, 0.34952380795497107, 0.007619413908281305, 0.09682173886413666, 0.02454249279285852, 0.0020237671393337703, 0.03635077555458282, 0.1447875769794239, 0.02206839404661835, 0.10289371817347463, 0.03270455102999044, 0.10915384418761948, 0.466689111491333, 0.10039756955076581, 0.025835381658088494, 0.14925546374081503, 0.17806260533117524, 0.04048624417106878, 0.25258380453544366, 0.0420212062118658, 0.03292738922839379, 0.39117191857687633, 0.009183775533874257, 0.10562605649012531, 0.030059763131539085, 0.022846454010861016, 0.32124999344744115, 0.020182646566482824, 0.009897110048922967, 0.15425498740900356, 0.05931993265917095, 0.05331284566881289, 0.11803336110709037, 0.2505530441975746, 0.49970912929637396, 0.11917189641609208, 0.4124380028357482, 0.33113319628137633, 0.22765081672589427, 0.04820013763758678, 0.22248487378364715, 0.574311434877021, 0.13114579420573283, 0.1131161447797632, 0.05626817809750782, 0.06958404315921908, 0.01974600587160934, 0.0010322283742674515, 0.00033496580135154003, 0.23259814014797503, 0.02114053621205092, 0.3514602044574195, 0.42640555434395483, 0.011795252584744377, 0.3073476423396191, 0.32134435340225653]
9	[0.026754637890360387, 0.10296919842430645, 0.3664887552925131, 0.3255178161136649, 0.17230789485959616, 0.040028620973895826, 0.15520787577215134, 0.40028282582216795, 0.38237874582289505, 0.1383571476034004, 0.015186519106138907, 0.21817178673609433, 0.1533896462087806, 0.013569032092508931, 0.3722141469116409, 0.08776141383689581, 0.1411696717557935, 0.3555651488007624, 0.1451326098338878, 0.11973262926492223, 0.10588238806147053, 0.04656063714414237, 0.2602241138243211, 0.27767375920652043, 0.13033781642511513, 0.17341844151008323, 0.05798190580911741, 0.024241079187855005, 0.021176404239221062, 0.01690912987114287, 0.004077279932881376, 0.2985802455197421, 0.1638511586843471, 0.193176019563886, 0.25265142300345506, 0.04870912732623177, 0.15253323183481063, 0.08488294567867744, 0.004882585139146942, 0.25901477730622857, 0.27255762197072153, 0.19266295487185364, 0.3944731266090614, 0.10035120775738011, 0.18238044604845402, 0.29753473005410797, 0.3498080861459846, 0.40205980701551647, 0.00044585906411219087, 0.1308671216341339, 0.05087884099747389, 0.03529205796508409, 0.05268497428564487, 0.006617524026232058, 0.1899603715000629, 0.17835437188023695, 0.12178054461419949, 0.1814097204729614, 0.09776881610817183, 0.21487938504501447, 0.2571282141969786, 0.016126389293405506, 0.13968973170359753, 0.058039858107242805, 0.2586075024685885, 0.11534766577513142, 0.02918426679260665, 0.014695974072048425, 0.1683382218482136, 0.07746327720858319, 0.044540632160063556, 0.18279501536032153, 0.21344748688622092, 0.3218260316995589, 0.01592781180015873, 0.13071048054688716, 0.05714315399912708, 0.09366826143018465, 0.3638251797528761, 0.07045233083141535, 0.1301854459067263, 0.1573160540307617, 0.08015413213172039, 0.19574284987985882, 0.1276186478288695, 0.15855498578194932, 0.0841195767613631, 0.0497969915490024, 0.010913854487815337, 0.03215561622516665, 0.013241249735549968, 0.002263815400084109, 0.03207472387029223, 0.13036374721602306, 0.17482453274756904, 0.18001717233949505, 0.07310927520219387, 0.2752829773607817, 0.21352910323114455, 0.02408059360714195]
